,SME_offers,SME,Social_clause,G_clause,G_criterion,G_weight,Price_weight,Award_price,Legal_status,Departement,Procedure_type,CPV,Framework,Advertising,Id_contract,Allotment,Month,Contract_type,SME_ratio,Other_offers,SIREN,Participation
64255,1.0,0,0,0,0,0.0,40.0,15.212167788593934,73,75,open,72500000,1,33.0,19-18180,1,2022_September,Services,0.25,3.0,130002504,1
64256,1.0,0,0,0,0,0.0,40.0,13.612986702015982,73,75,open,72600000,1,33.0,19-18180,1,2022_September,Services,0.25,3.0,130002504,1
625147,5.0,1,0,0,0,0.0,40.0,12.611537753638338,73,35,open,42612000,0,29.0,20-105449,1,2023_September,Supplies,1.0,0.0,193509361,1
625148,1.0,1,0,0,0,0.0,40.0,12.095758212796001,73,35,open,42632000,0,29.0,20-105449,1,2023_September,Supplies,1.0,0.0,193509361,1
866019,1.0,1,0,0,1,20.0,50.0,13.50238759303054,73,03,open,90511200,0,44.0,20-152200,0,2023_October,Services,0.3333333333333333,2.0,200071363,1
630133,1.0,1,0,0,0,0.0,25.0,10.727553340367766,73,35,open,32562000,0,32.0,20-47144,1,2022_December,Supplies,1.0,0.0,193509361,1
630134,2.0,1,0,0,0,0.0,30.0,10.174849676120813,73,35,open,42921100,0,32.0,20-47144,1,2022_December,Supplies,1.0,0.0,193509361,1
509255,0.0,0,0,0,0,0.0,50.0,13.740221118922559,41,06,negotiated,35113400,0,23.0,21-140569,1,2022_May,Supplies,0.0,2.0,802630608,0
509256,2.0,1,0,0,0,0.0,50.0,12.611980988728485,41,06,negotiated,35113400,0,23.0,21-140569,1,2022_May,Supplies,0.5,2.0,802630608,1
509257,1.0,0,0,0,0,0.0,60.0,11.224629871019282,41,06,negotiated,50413100,0,23.0,21-140569,1,2022_May,Services,0.5,1.0,802630608,1
945252,0.0,0,0,0,0,0.0,100.0,17.545960462435502,55,28,negotiated,92610000,0,45.0,21-152952,0,2022_January,Services,0.0,4.0,814969671,0
281796,2.0,1,0,0,0,0.0,30.0,12.962194625251508,73,93,open,79300000,0,32.0,21-153358,0,2022_February,Services,1.0,0.0,130006364,1
284111,1.0,1,0,0,0,0.0,30.0,12.354492650648448,73,93,open,79300000,0,29.0,21-153729,0,2022_February,Services,1.0,0.0,130006364,1
67605,1.0,1,0,1,1,10.0,40.0,13.944431338031114,71,75,open,60130000,0,34.0,21-156725,0,2022_January,Services,1.0,0.0,177501517,1
280535,0.0,0,0,0,0,0.0,30.0,12.669240463766627,73,93,open,79300000,0,29.0,21-160293,1,2022_February,Services,0.0,1.0,130006364,0
280538,0.0,0,0,0,0,0.0,30.0,11.461000392105309,73,93,open,79300000,0,29.0,21-160293,1,2022_February,Services,0.0,1.0,130006364,0
280539,0.0,0,0,0,0,0.0,30.0,12.789404960082912,73,93,open,79300000,0,29.0,21-160293,1,2022_February,Services,0.0,1.0,130006364,0
280540,0.0,0,0,0,0,0.0,30.0,14.635994986985414,73,93,open,79300000,0,29.0,21-160293,1,2022_February,Services,0.0,1.0,130006364,0
280541,0.0,0,0,0,0,0.0,30.0,11.953242783845603,73,93,open,79300000,0,29.0,21-160293,1,2022_February,Services,0.0,1.0,130006364,0
813906,2.0,0,0,1,1,10.0,40.0,12.943404592150992,72,49,open,50712000,0,52.0,21-161043,1,2022_January,Services,0.4,3.0,224900019,1
813907,1.0,0,0,1,1,10.0,40.0,12.453788294856091,72,49,open,50712000,0,52.0,21-161043,1,2022_January,Services,0.3333333333333333,2.0,224900019,1
813908,0.0,0,0,1,1,10.0,40.0,12.259475630454851,72,49,open,50712000,0,52.0,21-161043,1,2022_January,Services,0.0,3.0,224900019,0
813909,0.0,0,0,1,1,10.0,40.0,11.212927461839048,72,49,open,50712000,0,52.0,21-161043,1,2022_January,Services,0.0,2.0,224900019,0
285181,0.0,0,0,0,0,0.0,50.0,8.743876071908945,73,93,open,66510000,0,32.0,21-161252,1,2022_January,Services,0.0,2.0,130006364,0
285183,0.0,0,0,0,0,0.0,50.0,9.695920185166008,73,93,open,66510000,0,32.0,21-161252,1,2022_January,Services,0.0,3.0,130006364,0
285184,0.0,0,0,0,0,0.0,50.0,7.991812149641048,73,93,open,66510000,0,32.0,21-161252,1,2022_January,Services,0.0,1.0,130006364,0
522242,2.0,1,0,0,0,0.0,60.0,12.44626995141021,73,06,open,72212911,0,32.0,21-162639,1,2022_February,Services,1.0,0.0,200029833,1
522243,1.0,1,0,0,0,0.0,60.0,11.434963923500517,73,06,open,72212911,0,32.0,21-162639,1,2022_February,Services,1.0,0.0,200029833,1
915420,3.0,0,0,0,0,0.0,50.0,12.949855714433662,73,85,open,71620000,1,35.0,21-164503,1,2022_January,Services,0.75,1.0,258502962,1
915421,0.0,0,0,0,0,0.0,50.0,13.039103500186107,73,85,open,71620000,1,35.0,21-164503,1,2022_January,Services,0.0,3.0,258502962,0
915422,1.0,1,0,0,0,0.0,50.0,11.75831508731165,73,85,open,71620000,1,35.0,21-164503,1,2022_January,Services,1.0,0.0,258502962,1
915423,2.0,1,0,0,0,0.0,50.0,11.117212648304742,73,85,open,71620000,1,35.0,21-164503,1,2022_January,Services,0.4,3.0,258502962,1
915467,0.0,0,0,0,0,0.0,30.0,12.793859310432293,72,85,open,09200000,0,31.0,21-164687,1,2022_January,Supplies,0.0,3.0,218501096,0
915468,0.0,0,0,0,0,0.0,30.0,10.085809109330082,72,85,open,09200000,0,31.0,21-164687,1,2022_January,Supplies,0.0,1.0,218501096,0
915470,0.0,0,0,0,0,0.0,30.0,12.206072645530174,72,85,open,09200000,0,31.0,21-164687,1,2022_January,Supplies,0.0,1.0,218501096,0
915469,0.0,0,0,0,0,0.0,30.0,10.373491181781864,72,85,open,09200000,0,31.0,21-164687,1,2022_January,Supplies,0.0,2.0,218501096,0
662550,1.0,0,0,1,0,0.0,60.0,15.717618084361195,72,60,open,45233220,1,46.0,21-165299,1,2022_January,Works,0.2,4.0,226000016,1
662551,1.0,0,0,1,0,0.0,60.0,15.732433170146335,72,60,open,45233220,1,46.0,21-165299,1,2022_January,Works,0.25,3.0,226000016,1
609723,7.0,1,0,0,0,0.0,50.0,13.0070198636931,74,68,negotiated,71000000,0,41.0,21-165521,0,2022_February,Services,1.0,0.0,778971424,1
217229,0.0,0,1,0,0,0.0,100.0,18.300447497730225,73,75,negotiated,60130000,0,28.0,21-165606,0,2022_January,Services,0.0,3.0,287500078,0
663685,4.0,1,0,1,0,0.0,40.0,13.458835614025542,72,60,open,72416000,1,33.0,21-166058,0,2022_January,Services,1.0,0.0,226000016,1
281471,0.0,0,1,1,0,0.0,35.0,14.901701311133342,73,93,open,63521000,1,40.0,21-166299,0,2022_January,Services,0.0,2.0,130006364,0
285188,2.0,0,0,0,0,0.0,100.0,15.301286160630593,73,93,open,15331400,1,82.0,21-166330,1,2022_January,Supplies,0.5,2.0,130006364,1
285190,1.0,0,0,0,0,0.0,100.0,14.968123539373897,73,93,open,15331400,1,82.0,21-166330,1,2022_January,Supplies,0.5,1.0,130006364,1
359936,2.0,1,0,0,0,0.0,100.0,13.592367006650065,73,62,open,79713000,0,30.0,21-167326,1,2022_January,Services,1.0,0.0,256202722,1
359937,3.0,1,0,0,0,0.0,100.0,13.304684934198283,73,62,open,75251110,0,30.0,21-167326,1,2022_January,Services,1.0,0.0,256202722,1
371590,2.0,1,0,0,0,0.0,100.0,13.592367006650065,73,62,open,38343000,0,29.0,21-167351,0,2022_January,Supplies,1.0,0.0,256202722,1
293672,0.0,0,1,1,0,0.0,100.0,17.661134346901097,73,33,negotiated,50000000,0,80.0,21-169202,0,2022_January,Services,0.0,2.0,243300316,0
915988,0.0,0,0,0,0,0.0,40.0,13.133342881447337,73,85,open,71300000,1,33.0,21-170961,1,2022_January,Services,0.0,3.0,200023778,0
67626,1.0,1,0,0,0,0.0,40.0,11.796161543622535,73,75,restricted,45442100,0,35.0,21-171237,1,2022_January,Works,1.0,0.0,180092082,1
661677,1.0,0,0,0,0,0.0,40.0,14.37580337380743,72,60,open,66512000,0,33.0,21-171537,1,2022_January,Services,0.25,3.0,216001743,1
661679,0.0,0,0,0,0,0.0,40.0,14.299059225097706,72,60,open,66515200,0,33.0,21-171537,1,2022_January,Services,0.0,1.0,216001743,0
844876,2.0,1,0,0,0,0.0,100.0,12.611537753638338,73,68,open,45262522,0,35.0,21-171541,1,2022_January,Works,1.0,0.0,200046985,1
844885,2.0,1,0,0,0,0.0,100.0,13.122363377404328,73,68,open,44111400,0,35.0,21-171541,1,2022_January,Supplies,1.0,0.0,200046985,1
844886,1.0,1,0,0,0,0.0,100.0,13.304684934198283,73,68,open,45324000,0,35.0,21-171541,1,2022_January,Works,1.0,0.0,200046985,1
844887,1.0,1,0,0,0,0.0,100.0,13.458835614025542,73,68,open,44115220,0,35.0,21-171541,1,2022_January,Supplies,1.0,0.0,200046985,1
